2019-08-26 06:24:28,b'Melihat Kronologi Larangan Ekspor Nikel dan Keuntungannya https://t.co/OH8UgFDT8E'
2019-08-26 06:18:28,"b'Populer di Instagram, Aksi Susun Batu Usik Kelestarian Alam https://t.co/czT15n47GI'"
2019-08-26 06:12:28,b'Jokowi: Pendapatan Anggota DPR Lebih Besar dari Presiden https://t.co/R4KcHO4Qc5'
2019-08-26 06:12:27,b'FOTO: Rins Bikin Marquez Gigit Jari di MotoGP Inggris https://t.co/TQwyaEcEpp'
2019-08-26 06:06:27,"b""VIDEO: 5 Besar Box Office Hollywood, 'Angel Has Fallen' https://t.co/gsApQ5X4J3"""
2019-08-26 06:00:27,b'3 Respons Rudiantara Terkait Buka Blokir Internet di Papua https://t.co/OzE5UccvTF'
2019-08-26 06:00:27,b'Kaltim Tawarkan Kukar dan Penajam Paser Utara untuk Ibu Kota https://t.co/mryqZWooqW'
2019-08-26 05:54:27,b'VIDEO: Polisi Hong Kong Todongkan Pistol ke Arah Demonstran https://t.co/pVH0gHVbBu'
2019-08-26 05:54:26,"b""Sinopsis 'My Only One' Ep.35-39 yang Tayang di Trans TV https://t.co/ICnTv5jhdI"""
2019-08-26 05:48:26,"b'Efek Ekonomi Global, Defisit APBN Juli Melebar ke 1,14 Persen https://t.co/0zCGAopU1h'"
2019-08-26 05:42:26,b'FOTO: Hasil Liga Inggris Pekan Ini https://t.co/njzoOHSAsV'
2019-08-26 05:35:25,b'Massa Anti-rasisme Gelar Aksi di Tiga Kabupaten di Papua https://t.co/oeTcaZl44Q'
2019-08-26 05:29:25,"b'Guguran Lava Gunung Karangetang, 17 Keluarga Diungsikan https://t.co/ivwExXOzB3'"
2019-08-26 05:28:22,"b'@jokowi Menurut Gubenur Kaltim Isran Noor, ia diundang ke Istana Kepresidenan, seperti penuturannya saat dihubungi\xe2\x80\xa6 https://t.co/xk5IEAcJAZ'"
2019-08-26 05:23:25,b'Alasan Pajak Barang Mewah Mobil Baru Tak Kunjung Terbit https://t.co/QsG2GJsCWp'
2019-08-26 05:23:25,b'Sri Mulyani Akui Risiko Ekonomi Global Meningkat https://t.co/AijobHkBu8'
2019-08-26 05:17:25,b'Pejabat Malaysia yang Diduga Perkosa TKI Mundur Dari Jabatan https://t.co/Y0nzXf8KfC'
2019-08-26 05:17:24,"b'Jokowi Umumkan Ibu Kota, Gubernur Kaltim Diundang ke Istana https://t.co/7PAA8j4SuI'"
2019-08-26 05:14:35,"b'Presiden @jokowi disebut akan mengumumkan lokasi ibu kota negara yang baru pada hari ini, Senin (26/8). Ikuti infor\xe2\x80\xa6 https://t.co/z5fdJwEGvD'"
2019-08-26 05:11:24,"b'Timnas Malaysia Minta Barracuda, PSSI Coba Lobi https://t.co/b6gmeyFN6Q'"
2019-08-26 05:05:24,"b""Review Album: Red Velvet, 'The ReVe Festival: Day 2' https://t.co/evTrgn8AuV"""
2019-08-26 05:05:24,"b""5 Fungsi Google Assistant, dari Gim Hingga 'Gombal' https://t.co/HHP1LxKPoP"""
2019-08-26 05:00:00,"b'Simak informasi terkait dunia ekonomi terkini di bidang keuangan, energi, hingga bisnis selengkapnya hanya di\xe2\x80\xa6 https://t.co/tYNARrFMZr'"
2019-08-26 04:59:24,b'Anggota DPRD DKI Jakarta 2019-2024 Resmi Dilantik https://t.co/Fp06t4DYvL'
2019-08-26 04:59:23,b'MIND ID Berikan Beasiswa pada Mahasiswa Uncen Papua https://t.co/1v8fYYZect'
2019-08-26 04:53:24,b'Zulhas Minta Jokowi Fokus Papua Ketimbang Ibu Kota Baru https://t.co/tevS7Ph2zN'
2019-08-26 04:53:23,b'KNKS Sebut Revisi UU Koperasi Perlu Cantumkan Unsur Syariah https://t.co/vskd2vj6tk'
2019-08-26 04:42:23,b'KPK Panggil Eks Gubernur Jabar Ahmad Heryawan soal Meikarta https://t.co/AK7CnAlxo6'
2019-08-26 04:36:23,b'PDIP Ucapkan Selamat Ahsan/Hendra Juara Dunia https://t.co/SAzhiy1e78'
2019-08-26 04:36:22,b'Korlap Pengepungan Asrama Papua Kembali Diperiksa Polisi https://t.co/QvNzW2sxSW'
2019-08-26 04:35:42,"b'RT @CNNIDdaily: Kebakaran dahsyat yang melanda hutan Amazon di Brazil terus menarik perhatian dunia. Sebagai upaya pengendalian kebakaran,\xe2\x80\xa6'"
2019-08-26 04:35:25,"b'RT @CNNIDdaily: Fenomena yang tidak biasa berupa kemunculan hiu dalam jumlah yang banyak ini menjadi daya tarik baru di pantai Nusa Dua, Ba\xe2\x80\xa6'"
2019-08-26 04:34:39,"b'RT @CNNIDdaily: Isak tangis keluarga mewarnai kedatangan jenazah polisi Ipda Erwin Yudha Wildani, korban polisi yang terbakar dalam unjuk r\xe2\x80\xa6'"
2019-08-26 04:30:22,"b'Polisi Hong Kong Tangkap 36 Pedemo, Termasuk Bocah 12 Tahun https://t.co/pzRU8R9sNf'"
2019-08-26 04:30:22,b'Jokowi Resmi Lantik Wakil Gubernur Sulteng Terpilih https://t.co/AP4D93mOe1'
2019-08-26 04:24:22,b'Kenali Perbedaan Manfaat Olahraga Pagi dan Malam https://t.co/Qdk6EIn4qx'
2019-08-26 04:24:21,b'Menpora Usul Harga Tiket Indonesia vs Malaysia Rp100 ribu https://t.co/oNKC31IqDf'
2019-08-26 04:18:22,"b""Fisikawan Buka Suara Soal 'Partikel Tuhan' https://t.co/gnjpAHtUa4"""
2019-08-26 04:18:21,"b'Merasa Dirugikan, Pengusaha Protes Larangan Ekspor NIkel https://t.co/58VIOY1cuQ'"
2019-08-26 04:12:21,"b'Ingin Kurangi Polusi, Fraksi PAN DPRD DKI Carter Angkot https://t.co/IfMzpFNGzh'"
2019-08-26 03:59:20,"b""Pria-pria dalam Album 'Lover' Taylor Swift https://t.co/395slGmszN"""
2019-08-26 03:53:20,b'Pengacara Luhut Pangaribuan jadi Penguji Tes Capim KPK https://t.co/zvZQNl2q3N'
2019-08-26 03:47:20,b'VIDEO: Negara G7 Akan Bantu Perangi Kebakaran Hutan Amazon https://t.co/wWwKRVVm65'
2019-08-26 03:47:20,b'Gojek Raih Penghargaan Majalah Fortune Gara-gara Gopay https://t.co/T4toOtPktb'
2019-08-26 03:41:19,"b'Tanpa Penanganan, Indonesia Bisa Punya Gunung Limbah Baterai https://t.co/BMkQna0iFm'"
2019-08-26 03:35:19,"b'Awal Pekan, Rata-rata Harga Cabai Turun Rp8.000 per Kg https://t.co/ZD0WHClF20'"
2019-08-26 03:29:19,b'Ahok dan Djarot Hadiri Pelantikan DPRD DKI Jakarta https://t.co/bZtGluGJKx'
2019-08-26 03:23:18,b'Gestur Penyesalan Marquez Usai Kalah di MotoGP Inggris https://t.co/lZJWQY6RdK'
2019-08-26 03:16:18,"b'Anak Bamsoet, Zulhas dan Lulung Jadi Wajah Baru di DPRD DKI https://t.co/bD4iZlGM6C'"
2019-08-26 03:10:18,b'Kecamuk Perang Dagang Tekan Rupiah ke Rp14.265 per Dolar AS https://t.co/je6TxDTSSl'
2019-08-26 03:10:18,b'Trump Ingin Tembak Badai dengan Bom Nuklir https://t.co/NJ0KtSTjx0'
2019-08-26 03:04:17,b'Cara Mengatur Waktu Kerja Agar Lebih Produktif https://t.co/b8geT1GwFn'
2019-08-26 03:00:00,"b'Pantau berita dan analisis terkini seputar isu internasional dari kawasan ASEAN, Asia Pasifik, Timur Tengah, Eropa,\xe2\x80\xa6 https://t.co/y5r4LOmBqy'"
2019-08-26 02:58:17,b'Rudiantara Kembali Disomasi untuk Buka Blokir Internet Papua https://t.co/Y2pmSZNLWQ'
2019-08-26 02:56:31,"b'Ahsan/Hendra meraih gelar juara dunia untuk ketiga kalinya sebagai pasangan di #BWFWorldChampionships2019, setelah\xe2\x80\xa6 https://t.co/qh2AC1IADh'"
2019-08-26 02:50:17,"b'Cek Kesehatan Capim KPK, 40 Dokter RSPAD Diturunkan https://t.co/q52KAOpukZ'"
2019-08-26 02:38:16,b'Balasan Tarif Impor China ke AS Bikin Harga Emas Meroket https://t.co/o05VRht3SF'
2019-08-26 02:32:16,b'Rapor Pemain Indonesia di Kejuaraan Dunia Bulutangkis 2019 https://t.co/IGo9UCvHeS'
2019-08-26 02:24:15,"b'Komposisi Baru DPRD DKI: Hanura Hilang, PSI Masuk, PPP Jeblok https://t.co/TBShiLbGCX'"
2019-08-26 02:18:15,b'Huawei Sebut Sanksi AS Sedikit Berpengaruh Bagi Bisnis https://t.co/92LKGKmlHw'
2019-08-26 02:18:15,"b""Nonton 'My Only One' Ep. 35 Live Streaming di Trans TV https://t.co/iyE7dPkl5S"""
2019-08-26 02:12:15,b'Saham Perbankan dan Ritel Jadi Tumpuan di Tengah Gejolak IHSG https://t.co/FMSxveT51m'
2019-08-26 02:12:15,b'Tak Semua Suplemen Punya Manfaat yang Signifikan https://t.co/aK1FHLDInX'
2019-08-26 02:06:14,b'20 Capim KPK Jalani Tes Kesehatan di RSPAD Gatot Subroto https://t.co/LGbgyNdgAp'
2019-08-26 01:54:14,b'Arab Saudi Cegah 6 Rudal Houthi yang Ingin Serang Bandara https://t.co/u1pAIc8DU6'
2019-08-26 01:54:14,"b""Gaya Punk Emma Stone Jadi Pemburu Anjing dalam 'Cruella' https://t.co/BAPDISepFt"""
2019-08-26 01:48:13,b'Banjir Ucapan dari Tanah Abang untuk Anak Haji Lulung di DPRD https://t.co/nOJ0fNNlB5'
2019-08-26 01:40:13,b'Ekonom Sebut Suntikan Modal Negara ke BUMN Bebani APBN https://t.co/ZgDwMe3Zog'
2019-08-26 01:32:13,"b'Mobil Listrik Istimewa, Bebas Parkir dan Kebal Ganjil Genap https://t.co/dPXVk1cUjs'"
2019-08-26 01:26:12,"b'Juara Dunia, Ahsan/Hendra Masih Sulit Samai Catatan 2013 https://t.co/2BPtnAOtpn'"
2019-08-26 01:19:12,b'Istana Sebut Jokowi Bakal Umumkan Ibu Kota Baru Hari Ini https://t.co/xECJPnc8wI'
2019-08-26 01:12:12,b'Serangan Balasan China Diprediksi Tekan IHSG Awal Pekan https://t.co/3fbnJMfvHh'
2019-08-26 01:06:11,b'106 DPRD DKI Jakarta Hasil Pemilu 2019 Dilantik Hari Ini https://t.co/MntPhavxz1'
2019-08-26 01:00:11,b'Polisi Terbakar saat Kawal Demo di Cianjur Meninggal https://t.co/Ra33IpaSma'
2019-08-26 01:00:11,b'Menlu Iran Secara Mengejutkan Sambangi KTT G7 di Perancis https://t.co/QocxGOaLg9'
2019-08-26 01:00:00,b'Ingin mendapatkan lebih banyak tips-tips kesehatan? Atau butuh rekomendasi tempat wisata yang menarik? Temukan semu\xe2\x80\xa6 https://t.co/RlhYoEaTiW'
2019-08-26 00:54:11,"b'Dominan Atur BSSN, ELSAM Pertanyakan Isi RUU Kamtansiber https://t.co/a6PHSgUvdC'"
2019-08-26 00:54:11,b'Harga Minyak Tergelincir Akibat Balasan Tarif China ke AS https://t.co/uV1UtKYQeb'
2019-08-26 00:48:10,b'Warga Pekanbaru Tewas di Hutan Diduga Akibat Asap Karhutla https://t.co/QhkB7E182r'
2019-08-26 00:41:10,b'FOTO: Tinta Emas Ahsan/Hendra di Kejuaraan Dunia 2019 https://t.co/YaijVwRQHd'
2019-08-26 00:33:10,"b'Tertekan Sentimen Global, IHSG Berlanjut Koreksi https://t.co/pGJqg5PvgA'"
2019-08-26 00:27:09,"b'5 Video Musik Korea Pekan Ini, Hayoung dan Red Velvet https://t.co/z1H11D4f6n'"
2019-08-26 00:11:09,b'KLHK Buat Aturan Pengurangan Sampah Plastik https://t.co/HY9GUEqvKA'
2019-08-26 00:05:08,"b'Baru Masuk DPRD, PSI Ingin Gabung Pansus Wagub DKI https://t.co/a0DYY6BzFy'"
2019-08-25 23:53:08,b'Demo Hong Kong Kembali Ricuh hingga Kim Jong-un Tersenyum https://t.co/vAmzehC4CQ'
2019-08-25 23:47:07,b'6 Fakta Usai Ahsan/Hendra Raih Gelar Ketiga Kejuaraan Dunia https://t.co/erZHXA2cOn'
2019-08-25 23:41:07,b'FPI Boleh Pakai Fasilitas Pemerintah Meski Tak Punya SKT https://t.co/rtkP12lvIy'
2019-08-25 23:20:06,b'Penasihat KPK Ancam Mundur jika Pelanggar Etik jadi Pimpinan https://t.co/dGdjeNYMpu'
